C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-479,-2734,920,19124,31930,9,65592,0.02626966434524,72.3970086481756,NaN,NaN,NaN,0
-898,-2732,2286,19103,30021,9,65539,0.0263719120707629,72.3977142494064,NaN,NaN,NaN,0
-898,-2685,2436,19090,29773,9,65659,0.0263818224790108,72.3990080658,NaN,NaN,NaN,0
-450,-2666,800,19077,32124,9,65646,0.0265085738751199,72.3977282334016,NaN,NaN,NaN,0
-957,-2819,2274,19229,30164,9,65618,0.0266731107691653,72.3620260769855,NaN,NaN,NaN,0
-457,-2774,699,19127,32285,9,65475,0.0270537520112876,71.976928485758,NaN,NaN,NaN,0
-928,-2689,2565,19097,29572,9,65662,0.0270626532007149,72.3998663072255,NaN,NaN,NaN,0
-441,-2794,740,19180,32249,9,65619,0.0172238434388681,70.4764339353178,NaN,NaN,NaN,0
-920,-2713,2341,19132,29930,9,65610,0.0187227666854084,70.5425948101534,NaN,NaN,NaN,0
-920,-2657,2473,19082,29700,9,65656,0.0278781662801393,72.4006383871699,NaN,NaN,NaN,0
-445,-2684,649,19083,32346,9,65552,0.0279717651470663,71.9286312720275,NaN,NaN,NaN,0
-951,-2751,2492,19116,29706,9,65518,0.0280130527409475,72.3994249787275,NaN,NaN,NaN,0
-954,-2736,2425,19103,29818,9,65494,0.0280408129836624,72.3991889268313,NaN,NaN,NaN,0
-969,-2700,2358,19087,29936,9,65488,0.0258311890643453,70.887965648408,NaN,NaN,NaN,0
-956,-2771,2557,19144,29576,9,65524,0.0279921439448321,70.9883783706797,NaN,NaN,NaN,0
-467,-2779,678,19124,32319,9,65431,0.0285104411389067,71.7139579321099,NaN,NaN,NaN,0
-496,-2669,885,19075,32000,9,65590,0.0285191595140507,72.3994233961755,NaN,NaN,NaN,0
-871,-2694,2307,19103,29928,9,65618,0.0285661394352782,71.7544958424848,NaN,NaN,NaN,0
-911,-2772,2375,19142,29838,9,65506,0.0286585918925736,72.0019797980759,NaN,NaN,NaN,0
-881,-2741,2339,19123,29889,9,65569,0.0287277350121719,72.400555354482,NaN,NaN,NaN,0
-909,-2722,2278,19102,30010,9,65508,0.0287998487293664,72.4000283845644,NaN,NaN,NaN,0
-890,-2732,2458,19121,29706,9,65620,0.028804015602207,71.6478243695793,NaN,NaN,NaN,0
-967,-2730,2425,19113,29791,9,65473,0.0288602228808378,72.2851192783185,NaN,NaN,NaN,0
-913,-2643,2304,19054,29981,9,65585,0.0294183490657922,72.4014969810927,NaN,NaN,NaN,0
